model,category,task,metric,value
llama-4-maverick-17b-128e-instruct,coding,coding_completion,pass@1,0.5
llama-4-maverick-17b-128e-instruct,instruction_following,paraphrase,combined_score,0.7958333333333333
llama-4-maverick-17b-128e-instruct,language,connections,accuracy,0.5383333333333333
llama-4-maverick-17b-128e-instruct,language,plot_unscrambling,score,0.3378020598744357
llama-4-maverick-17b-128e-instruct,language,typos,accuracy,0.56
mathstral-7B-v0.1,coding,LCB_generation,pass@1,0.23076923076923078
mathstral-7B-v0.1,coding,coding_completion,pass@1,0.06
mathstral-7B-v0.1,instruction_following,story_generation,combined_score,0.58
mathstral-7B-v0.1,language,connections,accuracy,0.03333333333333333
mathstral-7B-v0.1,language,plot_unscrambling,score,0.14770315872745438
mathstral-7B-v0.1,language,typos,accuracy,0.28
meta-llama-3-70b-instruct,coding,LCB_generation,pass@1,0.2
meta-llama-3-8b-instruct,coding,LCB_generation,pass@1,0.2
meta-llama-3.1-405b-instruct-turbo,coding,LCB_generation,pass@1,0.41025641025641024
meta-llama-3.1-405b-instruct-turbo,coding,coding_completion,pass@1,0.42
meta-llama-3.1-405b-instruct-turbo,instruction_following,paraphrase,combined_score,0.7681666666666667
meta-llama-3.1-405b-instruct-turbo,language,connections,accuracy,0.31
meta-llama-3.1-405b-instruct-turbo,language,plot_unscrambling,score,0.44253012236684436
meta-llama-3.1-405b-instruct-turbo,language,typos,accuracy,0.58
meta-llama-3.1-70b-instruct-turbo,coding,LCB_generation,pass@1,0.34615384615384615
meta-llama-3.1-70b-instruct-turbo,coding,coding_completion,pass@1,0.34
meta-llama-3.1-70b-instruct-turbo,instruction_following,paraphrase,combined_score,0.7276666666666667
meta-llama-3.1-70b-instruct-turbo,language,connections,accuracy,0.20833333333333331
meta-llama-3.1-70b-instruct-turbo,language,plot_unscrambling,score,0.37646890084980983
meta-llama-3.1-70b-instruct-turbo,language,typos,accuracy,0.52
meta-llama-3.1-8b-instruct-turbo,coding,LCB_generation,pass@1,0.2948717948717949
meta-llama-3.1-8b-instruct-turbo,coding,coding_completion,pass@1,0.06
meta-llama-3.1-8b-instruct-turbo,instruction_following,paraphrase,combined_score,0.5705
meta-llama-3.1-8b-instruct-turbo,language,connections,accuracy,0.06166666666666666
meta-llama-3.1-8b-instruct-turbo,language,plot_unscrambling,score,0.14648873063008339
meta-llama-3.1-8b-instruct-turbo,language,typos,accuracy,0.38
mistral-7b-instruct-v0.2,coding,LCB_generation,pass@1,0.13333333333333333
mistral-large,language,plot_unscrambling,score,0.037243749728746424
mistral-large,language,typos,accuracy,0.0
mistral-large-2402,coding,LCB_generation,pass@1,0.3076923076923077
mistral-large-2402,coding,coding_completion,pass@1,0.24
mistral-large-2402,instruction_following,story_generation,combined_score,0.71
mistral-large-2402,language,connections,accuracy,0.2833333333333333
mistral-large-2402,language,plot_unscrambling,score,0.33898657696795675
mistral-large-2402,language,typos,accuracy,0.24
mistral-large-2407,coding,LCB_generation,pass@1,0.46153846153846156
mistral-large-2407,coding,coding_completion,pass@1,0.48
mistral-large-2407,instruction_following,paraphrase,combined_score,0.6108333333333333
mistral-large-2407,instruction_following,story_generation,combined_score,0.7816666666666667
mistral-large-2407,language,connections,accuracy,0.2891666666666667
mistral-large-2407,language,plot_unscrambling,score,0.40045332545583284
mistral-large-2407,language,typos,accuracy,0.5
mistral-large-2411,coding,LCB_generation,pass@1,0.46153846153846156
mistral-large-2411,coding,coding_completion,pass@1,0.48
mistral-large-2411,instruction_following,paraphrase,combined_score,0.6988333333333334
mistral-large-2411,language,connections,accuracy,0.28833333333333333
mistral-large-2411,language,plot_unscrambling,score,0.38666148378517745
mistral-large-2411,language,typos,accuracy,0.52
mistral-small-2402,coding,LCB_generation,pass@1,0.24358974358974358
mistral-small-2402,coding,coding_completion,pass@1,0.18
mistral-small-2402,instruction_following,paraphrase,combined_score,0.5663333333333334
mistral-small-2402,instruction_following,story_generation,combined_score,0.7933333333333333
mistral-small-2402,language,connections,accuracy,0.1691666666666667
mistral-small-2402,language,plot_unscrambling,score,0.26499000469530043
mistral-small-2402,language,typos,accuracy,0.18
mistral-small-2409,coding,LCB_generation,pass@1,0.2948717948717949
mistral-small-2409,coding,coding_completion,pass@1,0.22
mistral-small-2409,instruction_following,paraphrase,combined_score,0.46116666666666667
mistral-small-2409,language,connections,accuracy,0.24
mistral-small-2409,language,plot_unscrambling,score,0.20753973052843597
mistral-small-2409,language,typos,accuracy,0.36
mistral-small-2501,coding,LCB_generation,pass@1,0.34615384615384615
mistral-small-2501,coding,coding_completion,pass@1,0.36
mistral-small-2501,instruction_following,paraphrase,combined_score,0.6506666666666666
mistral-small-2501,language,connections,accuracy,0.135
mistral-small-2501,language,plot_unscrambling,score,0.28360030293408306
mistral-small-2501,language,typos,accuracy,0.52
mistral-small-2503,coding,LCB_generation,pass@1,0.38461538461538464
mistral-small-2503,coding,coding_completion,pass@1,0.34
mistral-small-2503,instruction_following,paraphrase,combined_score,0.6241666666666666
mistral-small-2503,language,connections,accuracy,0.23
mistral-small-2503,language,plot_unscrambling,score,0.28390652903097513
mistral-small-2503,language,typos,accuracy,0.44
mixtral-8x22b-instruct-v0.1,coding,LCB_generation,pass@1,0.2
mixtral-8x7b-instruct-v0.1,coding,LCB_generation,pass@1,0.13333333333333333
o1,coding,LCB_generation,pass@1,0.6923076923076923
o1,coding,coding_completion,pass@1,0.54
o1-2024-12-17-high,coding,LCB_generation,pass@1,0.6538461538461539
o1-2024-12-17-high,coding,coding_completion,pass@1,0.74
o1-2024-12-17-high,instruction_following,paraphrase,combined_score,0.8290000000000001
o1-2024-12-17-high,language,connections,accuracy,0.97
o1-2024-12-17-high,language,plot_unscrambling,score,0.4999297505220286
o1-2024-12-17-high,language,typos,accuracy,0.59
o1-2024-12-17-low,coding,LCB_generation,pass@1,0.5512820512820513
o1-2024-12-17-low,coding,coding_completion,pass@1,0.5
o1-2024-12-17-low,instruction_following,paraphrase,combined_score,0.8315
o1-2024-12-17-low,language,connections,accuracy,0.9316666666666668
o1-2024-12-17-low,language,plot_unscrambling,score,0.4251195019300968
o1-2024-12-17-low,language,typos,accuracy,0.44
o1-2024-12-17-medium,coding,LCB_generation,pass@1,0.5512820512820513
o1-2024-12-17-medium,coding,coding_completion,pass@1,0.56
o1-2024-12-17-medium,instruction_following,paraphrase,combined_score,0.8086666666666666
o1-2024-12-17-medium,language,connections,accuracy,0.965
o1-2024-12-17-medium,language,plot_unscrambling,score,0.4601610588968967
o1-2024-12-17-medium,language,typos,accuracy,0.48
o1-mini-2024-09-12,coding,LCB_generation,pass@1,0.6410256410256411
o1-mini-2024-09-12,coding,coding_completion,pass@1,0.32
o1-mini-2024-09-12,instruction_following,paraphrase,combined_score,0.6659999999999999
o1-mini-2024-09-12,instruction_following,story_generation,combined_score,0.785
o1-mini-2024-09-12,language,connections,accuracy,0.6658333333333333
o1-mini-2024-09-12,language,plot_unscrambling,score,0.2073947569560044
o1-mini-2024-09-12,language,typos,accuracy,0.48
o1-preview-2024-09-12,coding,LCB_generation,pass@1,0.5769230769230769
o1-preview-2024-09-12,coding,coding_completion,pass@1,0.44
o1-preview-2024-09-12,instruction_following,paraphrase,combined_score,0.7908333333333333
o1-preview-2024-09-12,instruction_following,story_generation,combined_score,0.9133333333333333
o1-preview-2024-09-12,language,connections,accuracy,0.9258333333333333
o1-preview-2024-09-12,language,plot_unscrambling,score,0.5348467927554331
o1-preview-2024-09-12,language,typos,accuracy,0.66
o3-mini-2025-01-31-high,coding,LCB_generation,pass@1,0.8076923076923077
o3-mini-2025-01-31-high,coding,coding_completion,pass@1,0.86
o3-mini-2025-01-31-high,instruction_following,paraphrase,combined_score,0.825
o3-mini-2025-01-31-high,language,connections,accuracy,0.795
o3-mini-2025-01-31-high,language,plot_unscrambling,score,0.2550129228390375
o3-mini-2025-01-31-high,language,typos,accuracy,0.56
o3-mini-2025-01-31-low,coding,LCB_generation,pass@1,0.7692307692307693
o3-mini-2025-01-31-low,coding,coding_completion,pass@1,0.46
o3-mini-2025-01-31-low,instruction_following,paraphrase,combined_score,0.7858333333333333
o3-mini-2025-01-31-low,language,connections,accuracy,0.6483333333333333
o3-mini-2025-01-31-low,language,plot_unscrambling,score,0.19176840519903754
o3-mini-2025-01-31-low,language,typos,accuracy,0.45
o3-mini-2025-01-31-medium,coding,LCB_generation,pass@1,0.8205128205128205
o3-mini-2025-01-31-medium,coding,coding_completion,pass@1,0.5
o3-mini-2025-01-31-medium,instruction_following,paraphrase,combined_score,0.7985
o3-mini-2025-01-31-medium,language,connections,accuracy,0.7983333333333333
o3-mini-2025-01-31-medium,language,plot_unscrambling,score,0.21149233989367958
o3-mini-2025-01-31-medium,language,typos,accuracy,0.49
olmo-2-1124-13b-instruct,coding,LCB_generation,pass@1,0.1282051282051282
olmo-2-1124-13b-instruct,coding,coding_completion,pass@1,0.08
olmo-2-1124-13b-instruct,instruction_following,paraphrase,combined_score,0.6678333333333333
olmo-2-1124-13b-instruct,language,connections,accuracy,0.04666666666666666
olmo-2-1124-13b-instruct,language,plot_unscrambling,score,0.14810235292666996
olmo-2-1124-13b-instruct,language,typos,accuracy,0.14
open-mistral-nemo,coding,LCB_generation,pass@1,0.2948717948717949
open-mistral-nemo,coding,coding_completion,pass@1,0.28
open-mistral-nemo,instruction_following,story_generation,combined_score,0.6233333333333334
open-mistral-nemo,language,connections,accuracy,0.09833333333333334
open-mistral-nemo,language,plot_unscrambling,score,0.1661514719404724
open-mistral-nemo,language,typos,accuracy,0.16
open-mixtral-8x22b,coding,LCB_generation,pass@1,0.32142857142857145
open-mixtral-8x22b,coding,coding_completion,pass@1,0.25
open-mixtral-8x22b,instruction_following,paraphrase,combined_score,0.5168333333333333
open-mixtral-8x22b,language,connections,accuracy,0.11166666666666666
open-mixtral-8x22b,language,plot_unscrambling,score,0.20596225946099664
open-mixtral-8x22b,language,typos,accuracy,0.42
open-mixtral-8x7b,coding,LCB_generation,pass@1,0.17857142857142858
open-mixtral-8x7b,coding,coding_completion,pass@1,0.08333333333333333
perplexity-sonar-reasoning,coding,coding_completion,pass@1,0.02631578947368421
phi-3-medium-4k-instruct,instruction_following,paraphrase,combined_score,0.3953333333333333
phi-3-mini-128k-instruct,coding,LCB_generation,pass@1,0.13333333333333333
phi-3-mini-128k-instruct,instruction_following,paraphrase,combined_score,0.40700000000000003
phi-3-mini-128k-instruct,language,connections,accuracy,0.06166666666666666
phi-3-mini-4k-instruct,coding,LCB_generation,pass@1,0.2
phi-3-mini-4k-instruct,instruction_following,paraphrase,combined_score,0.3426666666666667
phi-3-mini-4k-instruct,language,connections,accuracy,0.045
phi-3-small-8k-instruct,instruction_following,paraphrase,combined_score,0.44166666666666665
phi-4,coding,LCB_generation,pass@1,0.3333333333333333
phi-4,coding,coding_completion,pass@1,0.28
phi-4,instruction_following,paraphrase,combined_score,0.5479999999999999
phi-4,language,connections,accuracy,0.2
phi-4,language,plot_unscrambling,score,0.20001076842933402
phi-4,language,typos,accuracy,0.48
qwen1.5-0.5b-chat,coding,LCB_generation,pass@1,0.0
qwen1.5-1.8b-chat,coding,LCB_generation,pass@1,0.0
qwen1.5-110b-chat,coding,LCB_generation,pass@1,0.2
qwen1.5-4b-chat,coding,LCB_generation,pass@1,0.06666666666666667
qwen1.5-72b-chat,coding,LCB_generation,pass@1,0.2
qwen1.5-7b-chat,coding,LCB_generation,pass@1,0.13333333333333333
qwen2-72b-instruct,coding,LCB_generation,pass@1,0.0
qwen2-math-72b-instruct,coding,LCB_generation,pass@1,0.4230769230769231
qwen2-math-72b-instruct,coding,coding_completion,pass@1,0.4
qwen2-math-72b-instruct,instruction_following,story_generation,combined_score,0.5433333333333333
qwen2-math-72b-instruct,language,connections,accuracy,0.265
qwen2-math-72b-instruct,language,plot_unscrambling,score,0.18415467125189128
qwen2-math-72b-instruct,language,typos,accuracy,0.16
qwen2.5-72b-instruct-turbo,coding,LCB_generation,pass@1,0.3333333333333333
qwen2.5-72b-instruct-turbo,language,plot_unscrambling,score,0.3156361631863596
qwen2.5-72b-instruct-turbo,language,typos,accuracy,0.48
qwen2.5-7b-instruct-turbo,coding,LCB_generation,pass@1,0.3333333333333333
qwen2.5-7b-instruct-turbo,language,plot_unscrambling,score,0.13641389491365877
qwen2.5-7b-instruct-turbo,language,typos,accuracy,0.28
qwen2.5-coder-32b-instruct,language,plot_unscrambling,score,0.20504949345418158
qwen2.5-coder-32b-instruct,language,typos,accuracy,0.5416666666666666
qwen2.5-max,coding,LCB_generation,pass@1,0.6282051282051282
qwen2.5-max,coding,coding_completion,pass@1,0.66
qwen2.5-max,instruction_following,paraphrase,combined_score,0.7663333333333334
qwen2.5-max,language,connections,accuracy,0.5316666666666666
qwen2.5-max,language,plot_unscrambling,score,0.48482041764827427
qwen2.5-max,language,typos,accuracy,0.7
qwq-32b,coding,LCB_generation,pass@1,0.8846153846153846
qwq-32b,coding,coding_completion,pass@1,0.56
qwq-32b,instruction_following,paraphrase,combined_score,0.853
qwq-32b,language,connections,accuracy,0.6816666666666668
qwq-32b,language,plot_unscrambling,score,0.3151319304954812
qwq-32b,language,typos,accuracy,0.52
qwq-32b-preview,coding,LCB_generation,pass@1,0.5641025641025641
qwq-32b-preview,coding,coding_completion,pass@1,0.18
qwq-32b-preview,instruction_following,paraphrase,combined_score,0.3678333333333333
qwq-32b-preview,language,connections,accuracy,0.17666666666666667
qwq-32b-preview,language,plot_unscrambling,score,0.21540045763561888
qwq-32b-preview,language,typos,accuracy,0.21
reflection-llama-3.1-70b,coding,LCB_generation,pass@1,0.2
sky-t1-32b-preview,coding,LCB_generation,pass@1,0.5512820512820513
sky-t1-32b-preview,coding,coding_completion,pass@1,0.54
sky-t1-32b-preview,instruction_following,paraphrase,combined_score,0.5253333333333333
sky-t1-32b-preview,language,connections,accuracy,0.11166666666666666
sky-t1-32b-preview,language,plot_unscrambling,score,0.25223625794555027
sky-t1-32b-preview,language,typos,accuracy,0.26
sonar,coding,LCB_generation,pass@1,0.4230769230769231
sonar,coding,coding_completion,pass@1,0.28
sonar,instruction_following,paraphrase,combined_score,0.7213333333333333
sonar,instruction_following,story_generation,combined_score,0.9366666666666668
sonar,language,connections,accuracy,0.39583333333333337
sonar,language,plot_unscrambling,score,0.44684084771105753
sonar,language,typos,accuracy,0.5
sonar-pro,coding,LCB_generation,pass@1,0.6025641025641025
sonar-pro,coding,coding_completion,pass@1,0.6
sonar-pro,instruction_following,paraphrase,combined_score,0.6101666666666666
sonar-pro,language,connections,accuracy,0.5166666666666666
sonar-pro,language,plot_unscrambling,score,0.7347218101072756
sonar-pro,language,typos,accuracy,0.82
starling-lm-7b-beta,coding,LCB_generation,pass@1,0.26666666666666666
step-2-16k-202411,coding,LCB_generation,pass@1,0.40384615384615385
step-2-16k-202411,coding,coding_completion,pass@1,0.54
step-2-16k-202411,instruction_following,paraphrase,combined_score,0.8440000000000001
step-2-16k-202411,instruction_following,story_generation,combined_score,0.9433333333333332
step-2-16k-202411,language,connections,accuracy,0.4008333333333334
step-2-16k-202411,language,plot_unscrambling,score,0.38142556461513677
step-2-16k-202411,language,typos,accuracy,0.54
vicuna-7b-v1.5,coding,LCB_generation,pass@1,0.038461538461538464
vicuna-7b-v1.5,coding,coding_completion,pass@1,0.0
vicuna-7b-v1.5,instruction_following,story_generation,combined_score,0.5816666666666667
vicuna-7b-v1.5,language,connections,accuracy,0.01
vicuna-7b-v1.5,language,plot_unscrambling,score,0.10979979179811246
vicuna-7b-v1.5,language,typos,accuracy,0.14
vicuna-7b-v1.5-16k,coding,LCB_generation,pass@1,0.01282051282051282
vicuna-7b-v1.5-16k,coding,coding_completion,pass@1,0.04
vicuna-7b-v1.5-16k,instruction_following,story_generation,combined_score,0.6333333333333333
vicuna-7b-v1.5-16k,language,connections,accuracy,0.01
vicuna-7b-v1.5-16k,language,plot_unscrambling,score,0.10748789869585282
vicuna-7b-v1.5-16k,language,typos,accuracy,0.12
wbot-4:347b_no_s,coding,LCB_generation,pass@1,0.6025641025641025
wbot-4:347b_no_s,coding,coding_completion,pass@1,0.68
wbot-4:347b_no_s,instruction_following,paraphrase,combined_score,0.7189999999999999
wbot-4:347b_no_s,language,connections,accuracy,0.32666666666666666
wbot-4:347b_no_s,language,plot_unscrambling,score,0.22982723315235182
wbot-4:347b_no_s,language,typos,accuracy,0.4
yi-6b-chat,coding,LCB_generation,pass@1,0.0
zephyr-7b-alpha,coding,LCB_generation,pass@1,0.20512820512820512
zephyr-7b-alpha,coding,coding_completion,pass@1,0.04
zephyr-7b-alpha,instruction_following,story_generation,combined_score,0.5633333333333334
zephyr-7b-alpha,language,connections,accuracy,0.04
zephyr-7b-alpha,language,plot_unscrambling,score,0.11590135001756693
zephyr-7b-alpha,language,typos,accuracy,0.06
zephyr-7b-beta,coding,LCB_generation,pass@1,0.14102564102564102
zephyr-7b-beta,coding,coding_completion,pass@1,0.02
zephyr-7b-beta,instruction_following,story_generation,combined_score,0.5883333333333334
zephyr-7b-beta,language,connections,accuracy,0.0
zephyr-7b-beta,language,plot_unscrambling,score,0.10854144659763625
zephyr-7b-beta,language,typos,accuracy,0.02
